"Precinct","DATE","n"
40,2014-01-04,2
41,2014-01-04,0
42,2014-01-04,3
43,2014-01-04,5
44,2014-01-04,3
45,2014-01-04,4
46,2014-01-04,5
47,2014-01-04,7
48,2014-01-04,2
49,2014-01-04,4
50,2014-01-04,1
52,2014-01-04,7
60,2014-01-04,6
61,2014-01-04,4
62,2014-01-04,9
63,2014-01-04,8
66,2014-01-04,7
67,2014-01-04,10
68,2014-01-04,14
69,2014-01-04,6
70,2014-01-04,5
71,2014-01-04,4
72,2014-01-04,6
73,2014-01-04,3
75,2014-01-04,6
76,2014-01-04,4
77,2014-01-04,4
78,2014-01-04,1
79,2014-01-04,4
81,2014-01-04,1
83,2014-01-04,3
84,2014-01-04,5
88,2014-01-04,0
90,2014-01-04,2
94,2014-01-04,6
100,2014-01-04,0
101,2014-01-04,2
102,2014-01-04,5
103,2014-01-04,4
104,2014-01-04,7
105,2014-01-04,15
106,2014-01-04,10
107,2014-01-04,3
108,2014-01-04,14
109,2014-01-04,8
110,2014-01-04,5
111,2014-01-04,5
112,2014-01-04,6
113,2014-01-04,10
114,2014-01-04,9
115,2014-01-04,5
120,2014-01-04,8
121,2014-01-04,4
122,2014-01-04,4
123,2014-01-04,3
1,2014-01-05,2
5,2014-01-05,2
6,2014-01-05,0
7,2014-01-05,0
9,2014-01-05,2
10,2014-01-05,5
13,2014-01-05,2
14,2014-01-05,3
17,2014-01-05,5
18,2014-01-05,5
19,2014-01-05,9
20,2014-01-05,4
22,2014-01-05,2
23,2014-01-05,0
24,2014-01-05,0
25,2014-01-05,1
26,2014-01-05,1
28,2014-01-05,1
30,2014-01-05,0
32,2014-01-05,1
33,2014-01-05,0
34,2014-01-05,3
40,2014-01-05,1
41,2014-01-05,1
42,2014-01-05,4
43,2014-01-05,3
44,2014-01-05,3
45,2014-01-05,1
46,2014-01-05,0
47,2014-01-05,5
48,2014-01-05,1
49,2014-01-05,5
50,2014-01-05,2
52,2014-01-05,3
60,2014-01-05,2
61,2014-01-05,4
62,2014-01-05,1
63,2014-01-05,4
66,2014-01-05,2
67,2014-01-05,9
68,2014-01-05,2
69,2014-01-05,1
70,2014-01-05,3
71,2014-01-05,3
72,2014-01-05,7
73,2014-01-05,2
75,2014-01-05,11
76,2014-01-05,2
77,2014-01-05,5
78,2014-01-05,5
79,2014-01-05,0
81,2014-01-05,3
83,2014-01-05,1
84,2014-01-05,3
88,2014-01-05,1
90,2014-01-05,5
94,2014-01-05,4
100,2014-01-05,0
101,2014-01-05,0
102,2014-01-05,4
103,2014-01-05,5
104,2014-01-05,11
105,2014-01-05,13
106,2014-01-05,4
107,2014-01-05,7
108,2014-01-05,9
109,2014-01-05,4
110,2014-01-05,2
111,2014-01-05,6
112,2014-01-05,5
113,2014-01-05,3
114,2014-01-05,9
115,2014-01-05,6
120,2014-01-05,7
121,2014-01-05,1
122,2014-01-05,8
123,2014-01-05,6
1,2014-01-06,7
5,2014-01-06,5
6,2014-01-06,2
7,2014-01-06,3
9,2014-01-06,4
10,2014-01-06,3
13,2014-01-06,5
14,2014-01-06,8
17,2014-01-06,6
18,2014-01-06,8
19,2014-01-06,17
20,2014-01-06,7
22,2014-01-06,3
23,2014-01-06,6
24,2014-01-06,0
25,2014-01-06,4
26,2014-01-06,2
28,2014-01-06,3
30,2014-01-06,0
32,2014-01-06,3
33,2014-01-06,3
34,2014-01-06,4
40,2014-01-06,5
41,2014-01-06,4
42,2014-01-06,2
43,2014-01-06,3
44,2014-01-06,1
45,2014-01-06,2
46,2014-01-06,3
47,2014-01-06,7
48,2014-01-06,3
49,2014-01-06,7
50,2014-01-06,5
52,2014-01-06,8
60,2014-01-06,4
61,2014-01-06,6
62,2014-01-06,6
63,2014-01-06,6
66,2014-01-06,8
67,2014-01-06,14
68,2014-01-06,8
69,2014-01-06,7
70,2014-01-06,11
71,2014-01-06,3
72,2014-01-06,14
73,2014-01-06,8
75,2014-01-06,10
76,2014-01-06,4
77,2014-01-06,4
78,2014-01-06,4
79,2014-01-06,6
81,2014-01-06,5
83,2014-01-06,7
84,2014-01-06,10
88,2014-01-06,0
90,2014-01-06,4
94,2014-01-06,6
100,2014-01-06,2
101,2014-01-06,2
102,2014-01-06,3
103,2014-01-06,4
104,2014-01-06,9
105,2014-01-06,13
106,2014-01-06,11
107,2014-01-06,10
108,2014-01-06,15
109,2014-01-06,6
110,2014-01-06,3
111,2014-01-06,12
112,2014-01-06,3
113,2014-01-06,4
114,2014-01-06,4
115,2014-01-06,6
120,2014-01-06,3
121,2014-01-06,1
122,2014-01-06,11
123,2014-01-06,4
1,2014-01-07,4
5,2014-01-07,4
6,2014-01-07,4
7,2014-01-07,3
9,2014-01-07,0
10,2014-01-07,5
13,2014-01-07,8
14,2014-01-07,7
17,2014-01-07,2
18,2014-01-07,9
19,2014-01-07,10
20,2014-01-07,4
22,2014-01-07,3
23,2014-01-07,5
24,2014-01-07,3
25,2014-01-07,3
26,2014-01-07,1
28,2014-01-07,2
30,2014-01-07,1
32,2014-01-07,5
33,2014-01-07,6
34,2014-01-07,6
40,2014-01-07,4
41,2014-01-07,5
42,2014-01-07,2
43,2014-01-07,5
44,2014-01-07,1
45,2014-01-07,2
46,2014-01-07,3
47,2014-01-07,11
48,2014-01-07,1
